RNC,FileId,Time,Sequence No,Latitude,Longitude,Task Name,Call ID,Cell ID,App Throughput DL (kbit/s),App Throughput UL (kbit/s),Technology,Aggregate C/I (dB),RxLev (Sub) (dBm),RxQual (Sub),Tx Power (dBm),DL Coding Scheme,Ul Coding Scheme,DL RLC Throughput (kbps),UL RLC Throughput (kbps),DL LLC Throughput (kbps),UL LLC Throughput (kbps)
CTPA,10001005,2/3/2015 12:06:19 PM,1,-23.634397,-46.630107,FTP DL,5,10924,,,GPRS,,,,,,,,,,
CTPA,10001005,2/3/2015 12:06:20 PM,2,-23.634397,-46.630107,FTP DL,5,10924,,,GPRS,,,,,2,2,,,,
CTPA,10001005,2/3/2015 12:06:21 PM,3,-23.634242,-46.630098,FTP DL,5,10924,,,GPRS,,,,,1,2,,,,
CTPA,10001005,2/3/2015 12:06:22 PM,4,-23.634087,-46.630092,FTP DL,5,10924,,,GPRS,,,,,2,2,,,,
CTPA,10001005,2/3/2015 12:06:23 PM,5,-23.633935,-46.630083,FTP DL,5,10924,,,GPRS,,,,,1,2,,,,
CTPA,10001005,2/3/2015 12:06:24 PM,6,-23.633785,-46.630073,FTP DL,5,10924,,,GPRS,,,,,1,2,,376.635,,
CTPA,10001005,2/3/2015 12:06:25 PM,7,-23.633633,-46.630065,FTP DL,5,10924,,,GPRS,,,,,2,2,,,,
CTPA,10001005,2/3/2015 12:06:26 PM,8,-23.633482,-46.630057,FTP DL,5,10924,,,GPRS,,,,,2,1,,,,
CTPA,10001005,2/3/2015 12:06:27 PM,9,-23.633327,-46.630047,FTP DL,5,10924,,,GPRS,,,,,2,2,,,,
CTPA,10001005,2/3/2015 12:06:28 PM,10,-23.633172,-46.630037,FTP DL,5,10924,,,GPRS,,,,,2,1,,,,
CTPA,10001005,2/3/2015 12:06:29 PM,11,-23.633018,-46.630027,FTP DL,5,10924,2.56,,GPRS,,,,,2,2,,,,
CTPA,10001005,2/3/2015 12:06:30 PM,12,-23.632865,-46.630017,FTP DL,5,10924,,,GPRS,,,,,2,1,,,,
CTPA,10001005,2/3/2015 12:06:31 PM,13,-23.632712,-46.630008,FTP DL,5,10924,,,GPRS,,,,,1,2,,,,
CTPA,10001005,2/3/2015 12:06:32 PM,14,-23.632558,-46.630000,FTP DL,5,10924,,,GPRS,,,,,2,2,,,,
CTPA,10001005,2/3/2015 12:06:33 PM,15,-23.632410,-46.629990,FTP DL,5,10924,4.59,,GPRS,,,,,2,2,,,,
CTPA,10001005,2/3/2015 12:06:34 PM,16,-23.632262,-46.629982,FTP DL,5,10924,,,GPRS,,,,,2,2,,,,
CTPA,10001005,2/3/2015 12:06:35 PM,17,-23.632115,-46.629973,FTP DL,5,10924,,,GPRS,,,,,2,2,,,,
CTPA,10001005,2/3/2015 12:06:36 PM,18,-23.631967,-46.629963,FTP DL,5,10924,4.45,,GPRS,,,,,2,2,,,,
CTPA,10001005,2/3/2015 12:06:37 PM,19,-23.631820,-46.629957,FTP DL,5,10924,,,GPRS,,,,,2,2,,,,
CTPA,10001005,2/3/2015 12:06:38 PM,20,-23.631673,-46.629948,FTP DL,5,10924,,,GPRS,,,,,2,2,,,,
CTPA,10001005,2/3/2015 12:06:39 PM,21,-23.631525,-46.629942,FTP DL,5,10924,,,GPRS,,,,,2,2,,,,
CTPA,10001005,2/3/2015 12:06:40 PM,22,-23.631378,-46.629933,FTP DL,5,10924,4.86,,GPRS,,,,,2,2,,,,
CTPA,10001005,2/3/2015 12:06:41 PM,23,-23.631230,-46.629925,FTP DL,5,10924,,,GPRS,,,,,2,2,,,,
CTPA,10001005,2/3/2015 12:06:42 PM,24,-23.631080,-46.629917,FTP DL,5,10924,,,GPRS,,,,,2,2,,,,
CTPA,10001005,2/3/2015 12:06:43 PM,25,-23.630933,-46.629908,FTP DL,5,10924,4.71,,GPRS,,,,,2,2,,,,
CTPA,10001005,2/3/2015 12:06:44 PM,26,-23.630788,-46.629900,FTP DL,5,10924,,,GPRS,,,,,2,2,,,,
CTPA,10001005,2/3/2015 12:06:45 PM,27,-23.630645,-46.629892,FTP DL,5,10924,,,GPRS,,,,,2,2,,,,
CTPA,10001005,2/3/2015 12:06:46 PM,28,-23.630505,-46.629883,FTP DL,5,10924,,,GPRS,,,,,2,2,,,,
CTPA,10001005,2/3/2015 12:06:47 PM,29,-23.630365,-46.629875,FTP DL,5,10924,4.73,,GPRS,,,,,2,2,,,,
